,period,area,miss_diff,propabilities,session
0,off,wS1,0,"[0.17999999225139618, 0.32499998807907104, 0.44999998807907104, 0.044999998062849045]",0
1,whisker,wS1,tensor(0.5248),"[0.4449999928474426, 0.05999999865889549, 0.45499998331069946, 0.03999999910593033]",0
2,delay,wS1,tensor(0.4653),"[0.41499999165534973, 0.08999999612569809, 0.4449999928474426, 0.04999999701976776]",0
3,response,wS1,tensor(-0.0099),"[0.17499999701976776, 0.32999998331069946, 0.4350000023841858, 0.05999999865889549]",0
4,off,wS2,0,"[0.17999999225139618, 0.32499998807907104, 0.44999998807907104, 0.044999998062849045]",0
5,whisker,wS2,tensor(0.3168),"[0.3400000035762787, 0.16499999165534973, 0.45499998331069946, 0.03999999910593033]",0
6,delay,wS2,tensor(-0.0099),"[0.17499999701976776, 0.32999998331069946, 0.4449999928474426, 0.04999999701976776]",0
7,response,wS2,tensor(0.0495),"[0.20499999821186066, 0.29999998211860657, 0.4949999749660492, 0.0]",0
8,off,wM1,0,"[0.17999999225139618, 0.32499998807907104, 0.44999998807907104, 0.044999998062849045]",0
9,whisker,wM1,tensor(-0.0297),"[0.16499999165534973, 0.3400000035762787, 0.4699999988079071, 0.02499999850988388]",0
10,delay,wM1,tensor(0.0693),"[0.2149999886751175, 0.28999999165534973, 0.4449999928474426, 0.04999999701976776]",0
11,response,wM1,tensor(0.0099),"[0.1850000023841858, 0.3199999928474426, 0.4749999940395355, 0.019999999552965164]",0
12,off,wM2,0,"[0.17999999225139618, 0.32499998807907104, 0.44999998807907104, 0.044999998062849045]",0
13,whisker,wM2,tensor(0.2178),"[0.28999999165534973, 0.2149999886751175, 0.45499998331069946, 0.03999999910593033]",0
14,delay,wM2,tensor(0.4059),"[0.38499999046325684, 0.11999999731779099, 0.41999998688697815, 0.07499999552965164]",0
15,response,wM2,tensor(-0.0099),"[0.17499999701976776, 0.32999998331069946, 0.47999998927116394, 0.014999999664723873]",0
16,off,ALM,0,"[0.17999999225139618, 0.32499998807907104, 0.44999998807907104, 0.044999998062849045]",0
17,whisker,ALM,tensor(-0.0198),"[0.17000000178813934, 0.3349999785423279, 0.4399999976158142, 0.054999999701976776]",0
18,delay,ALM,tensor(0.0297),"[0.19499999284744263, 0.3100000023841858, 0.4399999976158142, 0.054999999701976776]",0
19,response,ALM,tensor(-0.0099),"[0.17499999701976776, 0.32999998331069946, 0.4650000035762787, 0.029999999329447746]",0
20,off,tjM1,0,"[0.17999999225139618, 0.32499998807907104, 0.44999998807907104, 0.044999998062849045]",0
21,whisker,tjM1,tensor(0.2871),"[0.32499998807907104, 0.17999999225139618, 0.4399999976158142, 0.054999999701976776]",0
22,delay,tjM1,tensor(0.2475),"[0.3050000071525574, 0.19999998807907104, 0.4599999785423279, 0.03500000014901161]",0
23,response,tjM1,tensor(0.3465),"[0.35499998927116394, 0.14999999105930328, 0.4949999749660492, 0.0]",0
24,off,wS1,0,"[0.16499999165534973, 0.3400000035762787, 0.4599999785423279, 0.03500000014901161]",1
25,whisker,wS1,tensor(0.5050),"[0.41999998688697815, 0.08500000089406967, 0.44999998807907104, 0.044999998062849045]",1
26,delay,wS1,tensor(0.5644),"[0.44999998807907104, 0.054999999701976776, 0.4599999785423279, 0.03500000014901161]",1
27,response,wS1,tensor(-0.0099),"[0.1599999964237213, 0.3449999988079071, 0.4449999928474426, 0.04999999701976776]",1
28,off,wS2,0,"[0.16499999165534973, 0.3400000035762787, 0.4599999785423279, 0.03500000014901161]",1
29,whisker,wS2,tensor(0.2376),"[0.2849999964237213, 0.2199999988079071, 0.4449999928474426, 0.04999999701976776]",1
30,delay,wS2,tensor(0.0099),"[0.17000000178813934, 0.3349999785423279, 0.4599999785423279, 0.03500000014901161]",1
31,response,wS2,tensor(0.0594),"[0.19499999284744263, 0.3100000023841858, 0.4899999797344208, 0.004999999888241291]",1
32,off,wM1,0,"[0.16499999165534973, 0.3400000035762787, 0.4599999785423279, 0.03500000014901161]",1
33,whisker,wM1,tensor(0.0792),"[0.20499999821186066, 0.29999998211860657, 0.44999998807907104, 0.044999998062849045]",1
34,delay,wM1,tensor(-0.0099),"[0.1599999964237213, 0.3449999988079071, 0.4650000035762787, 0.029999999329447746]",1
35,response,wM1,tensor(0.0198),"[0.17499999701976776, 0.32999998331069946, 0.4949999749660492, 0.0]",1
36,off,wM2,0,"[0.16499999165534973, 0.3400000035762787, 0.4599999785423279, 0.03500000014901161]",1
37,whisker,wM2,tensor(0.1980),"[0.26499998569488525, 0.23999999463558197, 0.4699999988079071, 0.02499999850988388]",1
38,delay,wM2,tensor(0.4158),"[0.375, 0.12999999523162842, 0.44999998807907104, 0.044999998062849045]",1
39,response,wM2,tensor(0.0099),"[0.17000000178813934, 0.3349999785423279, 0.48499998450279236, 0.009999999776482582]",1
40,off,ALM,0,"[0.16499999165534973, 0.3400000035762787, 0.4599999785423279, 0.03500000014901161]",1
41,whisker,ALM,tensor(0.0693),"[0.19999998807907104, 0.3050000071525574, 0.4699999988079071, 0.02499999850988388]",1
42,delay,ALM,tensor(-0.0297),"[0.14999999105930328, 0.35499998927116394, 0.4449999928474426, 0.04999999701976776]",1
43,response,ALM,tensor(0.0099),"[0.17000000178813934, 0.3349999785423279, 0.4449999928474426, 0.04999999701976776]",1
44,off,tjM1,0,"[0.16499999165534973, 0.3400000035762787, 0.4599999785423279, 0.03500000014901161]",1
45,whisker,tjM1,tensor(0.2574),"[0.29499998688697815, 0.20999999344348907, 0.44999998807907104, 0.044999998062849045]",1
46,delay,tjM1,tensor(0.2871),"[0.3100000023841858, 0.19499999284744263, 0.4699999988079071, 0.02499999850988388]",1
47,response,tjM1,tensor(0.3861),"[0.35999998450279236, 0.14499999582767487, 0.4949999749660492, 0.0]",1
48,off,wS1,0,"[0.1850000023841858, 0.3050000071525574, 0.4699999988079071, 0.03999999910593033]",2
49,whisker,wS1,tensor(0.5306),"[0.4449999928474426, 0.044999998062849045, 0.48499998450279236, 0.02499999850988388]",2
50,delay,wS1,tensor(0.4388),"[0.3999999761581421, 0.08999999612569809, 0.4399999976158142, 0.07000000029802322]",2
51,response,wS1,tensor(0.),"[0.1850000023841858, 0.3050000071525574, 0.4350000023841858, 0.07499999552965164]",2
52,off,wS2,0,"[0.1850000023841858, 0.3050000071525574, 0.4699999988079071, 0.03999999910593033]",2
53,whisker,wS2,tensor(0.2653),"[0.3149999976158142, 0.17499999701976776, 0.47999998927116394, 0.029999999329447746]",2
54,delay,wS2,tensor(0.0612),"[0.2149999886751175, 0.2750000059604645, 0.45499998331069946, 0.054999999701976776]",2
55,response,wS2,tensor(0.0714),"[0.2199999988079071, 0.26999998092651367, 0.5099999904632568, 0.0]",2
56,off,wM1,0,"[0.1850000023841858, 0.3050000071525574, 0.4699999988079071, 0.03999999910593033]",2
57,whisker,wM1,tensor(-0.0204),"[0.17499999701976776, 0.3149999976158142, 0.4650000035762787, 0.044999998062849045]",2
58,delay,wM1,tensor(0.0816),"[0.22499999403953552, 0.26499998569488525, 0.4749999940395355, 0.03500000014901161]",2
59,response,wM1,tensor(0.0408),"[0.20499999821186066, 0.2849999964237213, 0.48499998450279236, 0.02499999850988388]",2
60,off,wM2,0,"[0.1850000023841858, 0.3050000071525574, 0.4699999988079071, 0.03999999910593033]",2
61,whisker,wM2,tensor(0.0816),"[0.22499999403953552, 0.26499998569488525, 0.4749999940395355, 0.03500000014901161]",2
62,delay,wM2,tensor(0.4490),"[0.4050000011920929, 0.08500000089406967, 0.4650000035762787, 0.044999998062849045]",2
63,response,wM2,tensor(0.0816),"[0.22499999403953552, 0.26499998569488525, 0.5049999952316284, 0.004999999888241291]",2
64,off,ALM,0,"[0.1850000023841858, 0.3050000071525574, 0.4699999988079071, 0.03999999910593033]",2
65,whisker,ALM,tensor(0.0102),"[0.1899999976158142, 0.29999998211860657, 0.4650000035762787, 0.044999998062849045]",2
66,delay,ALM,tensor(0.0918),"[0.22999998927116394, 0.25999999046325684, 0.4749999940395355, 0.03500000014901161]",2
67,response,ALM,tensor(0.),"[0.1850000023841858, 0.3050000071525574, 0.4699999988079071, 0.03999999910593033]",2
68,off,tjM1,0,"[0.1850000023841858, 0.3050000071525574, 0.4699999988079071, 0.03999999910593033]",2
69,whisker,tjM1,tensor(0.2245),"[0.29499998688697815, 0.19499999284744263, 0.4699999988079071, 0.03999999910593033]",2
70,delay,tjM1,tensor(0.2959),"[0.32999998331069946, 0.1599999964237213, 0.48499998450279236, 0.02499999850988388]",2
71,response,tjM1,tensor(0.3673),"[0.3649999797344208, 0.125, 0.5099999904632568, 0.0]",2
72,off,wS1,0,"[0.1599999964237213, 0.29999998211860657, 0.48499998450279236, 0.054999999701976776]",3
73,whisker,wS1,tensor(0.4891),"[0.38499999046325684, 0.07499999552965164, 0.48499998450279236, 0.054999999701976776]",3
74,delay,wS1,tensor(0.4565),"[0.3700000047683716, 0.08999999612569809, 0.4749999940395355, 0.06499999761581421]",3
